Model,Years_Working,Production_Year,Range_km,Engine_Type,Fuel_Consumption,Capacity,Hourly_Maintenance_Cost,Region,Price_USD
Boeing 737,22,2002,6474,Turbofan,2.9,205,1917.95,Oceania,30591216.11
Boeing 747,26,1998,13705,Turbofan,10.83,655,3379.04,Oceania,89638606.1
Cessna 172,33,1991,1149,Piston,0.04,4,3314.4,South America,100000.0
Boeing 737,6,2018,6459,Turbofan,2.47,220,4376.27,Middle East,78526677.26
Airbus A320,12,2012,6640,Turbofan,2.65,177,4401.38,South America,49262365.77
Boeing 737,5,2019,6123,Turbofan,2.58,201,2466.72,Europe,84217299.65
Cessna 172,28,1996,1514,Piston,0.04,4,1085.34,Oceania,100000.0
Boeing 777,3,2021,15330,Turbofan,7.02,404,4577.91,Oceania,351225050.02
Cessna 172,3,2021,1517,Piston,0.04,4,1866.01,Africa,302271.68
Boeing 777,18,2006,15812,Turbofan,6.95,391,810.75,Africa,124483681.06
Airbus A380,6,2018,14956,Turbofan,12.9,860,4675.49,North America,358126589.81
Airbus A350-1000,5,2019,16329,Turbofan,5.32,420,4148.69,South America,334839900.63
Boeing 777,15,2009,15537,Turbofan,7.25,402,2353.23,Africa,158158615.38
Cessna 172,21,2003,1560,Piston,0.04,4,1472.46,Oceania,150218.47
Boeing 747,26,1998,13941,Turbofan,9.0,670,1182.61,North America,111826878.01
Airbus A380,19,2005,15262,Turbofan,11.85,845,4359.48,Europe,166908519.62
Boeing 777,12,2012,15854,Turbofan,7.34,396,3892.37,North America,173025936.37
Boeing 777,26,1998,15662,Turbofan,7.12,401,1320.41,North America,83181142.95
Boeing 747,0,2024,13389,Turbofan,9.25,666,3217.64,Middle East,406736088.85
Cessna 172,11,2013,1246,Piston,0.04,4,4774.32,Europe,264006.64
Boeing 737,26,1998,6368,Turbofan,2.74,203,2933.61,Asia,28951845.13
Airbus A320,29,1995,6783,Turbofan,2.3,171,1904.73,Oceania,26918937.36
Boeing 777,19,2005,15820,Turbofan,6.65,396,4291.85,Asia,147385448.87
Airbus A380,7,2017,15520,Turbofan,12.62,854,4763.32,Oceania,262138275.35
Boeing 747,21,2003,13710,Turbofan,10.03,650,2356.85,Europe,131344093.57
Boeing 747,16,2008,14035,Turbofan,10.83,656,595.51,Middle East,185292808.48
Boeing 777,9,2015,16049,Turbofan,6.19,402,4705.98,Europe,205596832.8
Airbus A380,19,2005,15584,Turbofan,11.97,840,2881.94,South America,191876780.81
Airbus A380,19,2005,15227,Turbofan,12.0,843,4179.05,South America,184481418.13
Boeing 737,33,1991,6237,Turbofan,2.64,210,2698.49,North America,18478743.82
Cessna 172,7,2017,1300,Piston,0.04,4,3130.6,Oceania,260296.04
Boeing 737,31,1993,7015,Turbofan,2.48,200,3703.78,Africa,16159472.13
Airbus A320,32,1992,6313,Turbofan,2.37,179,1939.58,Middle East,17961704.81
Boeing 747,32,1992,14223,Turbofan,9.57,652,3936.85,Europe,83536757.01
Boeing 737,34,1990,7040,Turbofan,2.59,211,818.56,South America,16565675.87
Airbus A320,34,1990,6162,Turbofan,2.64,178,2311.06,Asia,15936761.99
Boeing 777,29,1995,15932,Turbofan,6.59,388,1447.86,Oceania,97065368.1
Airbus A350-1000,5,2019,16429,Turbofan,4.86,404,2593.68,Oceania,278294814.2
Boeing 737,20,2004,6536,Turbofan,2.89,218,2449.04,North America,36429911.27
Airbus A350-1000,4,2020,15620,Turbofan,5.05,419,1286.85,South America,338013883.37
Cessna 172,34,1990,1581,Piston,0.04,4,3838.59,Asia,100000.0
Cessna 172,8,2016,1250,Piston,0.04,4,3684.12,Europe,251170.51
Cessna 172,22,2002,946,Piston,0.04,4,4538.16,South America,107509.8
Boeing 747,6,2018,13470,Turbofan,9.68,660,2797.02,Europe,327196165.81
Boeing 737,33,1991,6092,Turbofan,2.56,215,1905.37,Africa,15980056.22
Airbus A380,9,2015,15212,Turbofan,12.46,853,4019.65,Africa,290601842.28
Boeing 747,18,2006,13466,Turbofan,10.69,659,3916.89,Africa,137886254.67
Airbus A320,8,2016,6096,Turbofan,2.73,180,3482.08,Asia,77177638.43
Airbus A380,6,2018,14810,Turbofan,11.16,853,2151.68,North America,288475258.61
Airbus A380,4,2020,15308,Turbofan,11.46,852,502.39,Asia,303861766.71
Cessna 172,4,2020,1167,Piston,0.04,4,3992.47,Middle East,294152.05
Boeing 747,20,2004,14234,Turbofan,9.25,657,3296.46,Middle East,158627783.23
Airbus A320,4,2020,6087,Turbofan,2.45,170,1609.87,Oceania,92943293.28
Airbus A320,8,2016,6400,Turbofan,2.69,177,2317.88,South America,66734678.29
Airbus A380,1,2023,14943,Turbofan,11.12,845,2694.17,Africa,478870168.68
Boeing 737,11,2013,6834,Turbofan,2.97,211,1803.4,North America,61580771.58
Airbus A320,10,2014,6543,Turbofan,2.31,175,4012.67,Oceania,62178188.51
Boeing 777,6,2018,15785,Turbofan,6.2,386,765.51,Asia,277861640.77
Boeing 747,34,1990,13843,Turbofan,9.06,658,2984.44,Asia,78137472.22
Boeing 777,4,2020,15603,Turbofan,7.47,405,505.7,Africa,334625060.99
Boeing 737,12,2012,6391,Turbofan,2.92,220,1971.43,Oceania,43559251.57
Boeing 747,21,2003,14024,Turbofan,10.4,661,2584.56,South America,132597763.96
Airbus A350-1000,8,2016,15782,Turbofan,5.51,409,4593.2,Asia,259533908.08
Boeing 777,21,2003,15875,Turbofan,6.98,392,3205.12,Asia,98129524.33
Airbus A350-1000,7,2017,16575,Turbofan,4.87,407,2120.12,Europe,252078904.87
Boeing 777,10,2014,15231,Turbofan,7.26,405,799.32,Europe,196258968.84
Airbus A380,19,2005,15506,Turbofan,11.63,858,1306.39,Europe,185598841.47
Boeing 777,23,2001,15642,Turbofan,6.72,392,3309.33,Europe,91539891.12
Boeing 777,8,2016,15624,Turbofan,7.27,386,2317.57,Asia,236184199.14
Cessna 172,8,2016,1582,Piston,0.04,4,2301.34,Africa,242900.44
Airbus A380,2,2022,14937,Turbofan,10.92,847,957.65,Middle East,369493201.39
Airbus A350-1000,7,2017,16411,Turbofan,4.93,416,1385.81,South America,260922755.18
Airbus A380,4,2020,14785,Turbofan,12.16,843,4763.9,South America,291506203.8
Cessna 172,16,2008,1619,Piston,0.04,4,3400.27,Middle East,189217.74
Cessna 172,22,2002,1590,Piston,0.04,4,3776.99,Europe,141866.95
Cessna 172,13,2011,930,Piston,0.04,4,3778.75,South America,192167.39
Cessna 172,29,1995,1300,Piston,0.04,4,4293.83,Asia,100000.0
Airbus A380,0,2024,15512,Turbofan,13.1,848,2145.89,Asia,496081651.22
Airbus A350-1000,8,2016,15992,Turbofan,5.38,402,2197.76,Oceania,273557331.6
Airbus A380,5,2019,14811,Turbofan,12.5,841,2383.39,Middle East,323269537.49
Boeing 777,13,2011,15343,Turbofan,7.3,404,2424.64,Asia,188287474.46
Airbus A320,9,2015,5886,Turbofan,2.28,174,2739.63,Oceania,56838559.03
Airbus A320,21,2003,6281,Turbofan,2.47,180,2863.73,North America,34829158.34
Boeing 777,12,2012,15658,Turbofan,6.23,391,3632.8,Europe,166198326.62
Boeing 737,5,2019,6564,Turbofan,2.91,208,2737.52,Africa,70402132.95
Airbus A320,31,1993,6369,Turbofan,2.31,174,1057.69,Africa,17245204.94
Boeing 737,31,1993,7000,Turbofan,2.77,218,1644.47,South America,22043665.18
Airbus A350-1000,5,2019,16370,Turbofan,5.53,405,4889.53,Europe,294948284.05
Boeing 737,33,1991,6541,Turbofan,2.56,213,4697.9,North America,17613099.35
Cessna 172,32,1992,1137,Piston,0.04,4,4586.74,Asia,100000.0
Boeing 777,21,2003,15902,Turbofan,6.69,395,2048.06,Asia,115510495.69
Airbus A380,14,2010,14871,Turbofan,12.39,846,1364.14,North America,198834154.09
Airbus A380,1,2023,15680,Turbofan,12.38,858,1057.45,North America,474909201.71
Cessna 172,2,2022,1064,Piston,0.04,4,3095.85,Asia,343621.79
Airbus A350-1000,6,2018,16195,Turbofan,5.04,412,3626.06,Middle East,258247993.24
Airbus A380,0,2024,14743,Turbofan,11.12,845,3154.33,Africa,363199914.43
Airbus A320,31,1993,6667,Turbofan,2.71,182,3889.32,Middle East,23213065.95
Boeing 737,2,2022,6335,Turbofan,2.9,203,4819.95,Europe,72145273.83
Boeing 747,25,1999,14083,Turbofan,9.73,657,3640.39,Europe,119442594.66
Cessna 172,25,1999,1491,Piston,0.04,4,1012.09,Europe,125875.08
Boeing 747,8,2016,13998,Turbofan,9.07,661,1937.93,Middle East,257021307.29
Boeing 737,26,1998,7034,Turbofan,2.49,216,4694.71,Oceania,27718204.38
Airbus A380,8,2016,15511,Turbofan,12.99,858,2416.98,South America,253877951.09
Boeing 747,16,2008,13552,Turbofan,10.86,669,1522.01,North America,186340328.4
Airbus A320,6,2018,6390,Turbofan,2.49,189,3461.67,North America,71253132.34
Cessna 172,33,1991,1619,Piston,0.04,4,4502.96,Middle East,100000.0
Airbus A380,8,2016,15573,Turbofan,11.97,852,4698.28,Europe,292538054.03
Airbus A380,8,2016,14758,Turbofan,12.52,852,4495.51,South America,271236640.42
Boeing 737,8,2016,7009,Turbofan,2.87,220,1057.39,Africa,67165922.45
Airbus A320,28,1996,6715,Turbofan,2.4,175,1239.68,Oceania,23718757.1
Boeing 747,5,2019,13530,Turbofan,9.55,668,1784.48,Oceania,329529735.9
Boeing 737,25,1999,6973,Turbofan,2.7,202,1503.93,North America,27213502.45
Airbus A320,2,2022,6033,Turbofan,2.29,185,3531.83,Asia,108428558.6
Airbus A350-1000,4,2020,16009,Turbofan,5.31,403,1705.16,Africa,276683631.26
Airbus A380,4,2020,15007,Turbofan,10.93,852,3860.66,Asia,377861150.36
Airbus A320,6,2018,6532,Turbofan,2.7,175,3458.24,North America,63379499.3
Boeing 737,0,2024,6896,Turbofan,2.5,205,2863.28,Oceania,83569323.13
Airbus A350-1000,6,2018,16568,Turbofan,5.5,403,3647.56,Europe,274493859.04
Boeing 777,13,2011,15362,Turbofan,6.35,403,3139.51,Middle East,207803920.76
Cessna 172,25,1999,1401,Piston,0.04,4,4438.01,North America,127711.95
Boeing 747,5,2019,14261,Turbofan,10.36,658,3746.4,Africa,276062605.78
Cessna 172,11,2013,1766,Piston,0.04,4,1135.62,North America,225212.7
Airbus A350-1000,2,2022,15628,Turbofan,4.99,417,1965.99,Asia,317906670.46
Airbus A350-1000,1,2023,15791,Turbofan,5.2,402,3998.35,Africa,348109134.04
Airbus A380,17,2007,15293,Turbofan,11.86,845,2162.52,Oceania,162365868.22
Boeing 737,1,2023,6777,Turbofan,2.89,202,628.39,North America,83592147.43
Boeing 737,1,2023,6398,Turbofan,2.73,207,3712.47,Middle East,85567297.62
Airbus A380,7,2017,15404,Turbofan,10.83,857,1584.18,Middle East,350490000.36
Cessna 172,11,2013,1767,Piston,0.04,4,3079.04,Asia,230636.35
Boeing 777,9,2015,16155,Turbofan,7.13,391,3375.64,South America,265259739.09
Boeing 737,13,2011,6989,Turbofan,2.48,219,4003.12,Middle East,53089159.61
Airbus A380,2,2022,15124,Turbofan,10.89,851,3003.22,Africa,359266848.13
Boeing 737,20,2004,7050,Turbofan,2.65,200,2010.82,Oceania,36367490.69
Airbus A350-1000,1,2023,16138,Turbofan,5.46,410,1564.26,Africa,340369820.51
Boeing 747,33,1991,13805,Turbofan,9.23,653,2208.81,North America,76937944.81
Airbus A350-1000,0,2024,16171,Turbofan,5.15,418,3277.54,Europe,413558094.84
Boeing 777,5,2019,15892,Turbofan,6.94,393,3000.59,Middle East,228234501.7
Airbus A350-1000,4,2020,16442,Turbofan,5.36,420,2774.7,North America,250060345.7
Airbus A320,3,2021,6221,Turbofan,2.49,181,987.37,Oceania,97572859.73
Airbus A320,6,2018,6711,Turbofan,2.51,173,3012.47,Asia,83414544.66
Boeing 747,19,2005,13460,Turbofan,10.55,669,4581.9,North America,143618315.87
Airbus A350-1000,2,2022,16028,Turbofan,4.73,407,2476.25,Asia,374993456.89
Boeing 777,26,1998,15888,Turbofan,6.21,399,1979.66,Asia,103390811.31
Cessna 172,1,2023,1735,Piston,0.04,4,546.75,Europe,393566.54
Airbus A350-1000,1,2023,15864,Turbofan,5.24,410,1274.71,Asia,312705002.75
Boeing 747,3,2021,13536,Turbofan,9.24,663,681.65,Asia,408784196.38
Boeing 777,21,2003,15934,Turbofan,6.3,391,4793.75,South America,101614556.32
Airbus A350-1000,3,2021,16168,Turbofan,4.92,415,1895.87,Europe,347759095.85
Airbus A350-1000,5,2019,16115,Turbofan,5.57,418,2340.02,Europe,296910842.45
Cessna 172,14,2010,1136,Piston,0.04,4,4609.13,Middle East,186099.66
Airbus A320,25,1999,6666,Turbofan,2.29,184,2433.71,North America,22868747.54
Cessna 172,5,2019,1601,Piston,0.04,4,1226.33,Middle East,331425.98
Airbus A320,29,1995,6663,Turbofan,2.5,175,3044.76,South America,18718136.35
Airbus A320,25,1999,6792,Turbofan,2.74,174,4808.84,Europe,31169147.79
Airbus A380,10,2014,15053,Turbofan,12.35,842,1194.7,Middle East,290924516.21
Boeing 747,3,2021,13606,Turbofan,9.63,653,1538.02,Oceania,360249356.76
Boeing 737,1,2023,6667,Turbofan,2.77,205,4564.91,South America,112046623.74
Airbus A320,13,2011,6512,Turbofan,2.49,170,2949.84,South America,51697512.6
Cessna 172,18,2006,1214,Piston,0.04,4,4836.25,Africa,154897.23
Cessna 172,31,1993,1012,Piston,0.04,4,535.93,Middle East,100000.0
Boeing 777,7,2017,15832,Turbofan,7.16,394,3217.91,Middle East,281000559.86
Cessna 172,28,1996,959,Piston,0.04,4,2460.58,South America,105652.44
Airbus A320,24,2000,6336,Turbofan,2.52,181,3040.27,North America,32203856.5
Airbus A350-1000,1,2023,15658,Turbofan,5.63,406,1158.95,Europe,373139414.49
Airbus A380,6,2018,15639,Turbofan,10.97,857,3029.08,South America,354074194.87
Cessna 172,16,2008,1190,Piston,0.04,4,2107.55,Africa,155645.86
Boeing 747,18,2006,13675,Turbofan,9.51,666,2795.46,South America,199142965.67
Boeing 777,7,2017,15312,Turbofan,7.31,398,4342.63,Africa,233422096.67
Boeing 737,16,2008,6227,Turbofan,2.69,216,677.61,South America,43864280.46
Boeing 747,29,1995,13412,Turbofan,10.83,652,1092.64,Africa,96596101.45
Boeing 737,4,2020,6640,Turbofan,2.6,209,2641.32,Europe,85587410.42
Cessna 172,22,2002,1607,Piston,0.04,4,2282.37,Europe,120975.02
Boeing 777,9,2015,15290,Turbofan,6.48,406,4783.79,Africa,208585797.28
Boeing 777,7,2017,15631,Turbofan,7.13,388,4915.44,Oceania,283108044.03
Airbus A320,22,2002,6554,Turbofan,2.44,183,1520.38,North America,38472580.15
Cessna 172,0,2024,1492,Piston,0.04,4,1013.16,Asia,341745.29
Airbus A320,25,1999,6573,Turbofan,2.33,185,930.94,North America,27183568.2
Cessna 172,32,1992,1308,Piston,0.04,4,4790.91,Africa,100000.0
Airbus A380,12,2012,15181,Turbofan,13.11,851,2328.48,South America,208478398.68
Airbus A320,5,2019,6290,Turbofan,2.41,180,2416.31,Oceania,79027560.78
Airbus A380,2,2022,14811,Turbofan,12.33,856,4684.99,North America,411539700.33
Boeing 777,15,2009,15428,Turbofan,6.68,393,4989.38,North America,139092647.93
Boeing 747,22,2002,14025,Turbofan,10.03,657,1919.93,Oceania,149679872.29
Boeing 777,0,2024,15966,Turbofan,6.32,405,4602.68,Europe,405970687.93
Boeing 737,0,2024,6740,Turbofan,2.97,201,1362.56,Middle East,95593594.05
Airbus A350-1000,4,2020,15976,Turbofan,5.63,401,4977.64,North America,256810156.84
Boeing 737,3,2021,6661,Turbofan,2.94,200,4870.6,Europe,82095732.58
Airbus A350-1000,4,2020,16332,Turbofan,5.56,400,2737.34,Europe,298758967.51
Boeing 747,20,2004,14019,Turbofan,10.91,659,2294.74,Africa,163234757.28
Boeing 777,10,2014,15736,Turbofan,6.14,398,2306.22,South America,226125275.66
Boeing 747,5,2019,13518,Turbofan,10.71,651,3989.76,South America,381705042.05
Airbus A320,4,2020,6229,Turbofan,2.36,175,3909.24,Africa,69352734.31
Boeing 737,0,2024,6679,Turbofan,2.76,211,3632.63,South America,86886345.85
Airbus A320,32,1992,5840,Turbofan,2.73,177,3278.58,Africa,17010425.57
Airbus A320,18,2006,6554,Turbofan,2.71,181,3384.25,Asia,34637581.31
Airbus A350-1000,5,2019,16355,Turbofan,5.24,412,3410.14,Europe,275337801.89
Boeing 737,2,2022,6331,Turbofan,2.78,218,588.89,Oceania,92226756.39
Airbus A350-1000,7,2017,16170,Turbofan,5.71,411,4445.49,Europe,227043739.49
Airbus A380,13,2011,15272,Turbofan,11.72,844,3859.28,Middle East,242150815.48
Cessna 172,13,2011,1109,Piston,0.04,4,2014.65,North America,222003.93
Boeing 737,5,2019,6809,Turbofan,2.96,216,2670.14,South America,66015771.8
Boeing 737,3,2021,6785,Turbofan,2.88,205,4573.02,Europe,89652180.3
Boeing 747,32,1992,14144,Turbofan,9.7,650,1074.76,Asia,88090070.83
Cessna 172,0,2024,1230,Piston,0.04,4,4768.52,Oceania,474581.12
Airbus A350-1000,5,2019,15768,Turbofan,4.97,401,4554.65,Oceania,324433832.73
Boeing 777,12,2012,15966,Turbofan,6.2,390,2506.64,Europe,167686474.21
Airbus A350-1000,1,2023,16036,Turbofan,5.37,413,2974.56,South America,381812518.05
Airbus A350-1000,2,2022,16493,Turbofan,4.94,418,1417.32,Middle East,324004611.92
Boeing 737,24,2000,6647,Turbofan,2.46,205,4573.11,South America,33952332.85
Boeing 737,2,2022,6943,Turbofan,2.51,212,1649.79,Oceania,106032199.39
Boeing 737,7,2017,6179,Turbofan,2.86,202,2405.84,Asia,82260619.37
Boeing 777,1,2023,15566,Turbofan,7.0,402,789.8,North America,404714295.2
Airbus A380,13,2011,15019,Turbofan,12.65,846,3011.35,Middle East,212278621.21
Boeing 747,28,1996,13532,Turbofan,9.95,654,799.29,Middle East,81713202.26
Airbus A350-1000,3,2021,16460,Turbofan,5.11,409,2115.02,Europe,289916475.47
Airbus A380,8,2016,15268,Turbofan,12.03,851,666.22,Middle East,248731171.22
Boeing 777,11,2013,15436,Turbofan,6.12,391,3260.96,North America,225371892.56
Airbus A380,5,2019,15479,Turbofan,12.7,842,4062.13,North America,293869697.66
Airbus A350-1000,7,2017,16313,Turbofan,5.06,418,2276.3,Africa,224501196.33
Cessna 172,0,2024,1505,Piston,0.04,4,4957.5,Asia,444194.92
Boeing 777,16,2008,15295,Turbofan,6.73,402,4400.56,Europe,174570922.21
Boeing 747,1,2023,13660,Turbofan,10.27,663,3882.08,North America,382620757.67
Airbus A380,13,2011,14832,Turbofan,12.04,860,1377.68,North America,212610938.3
Cessna 172,19,2005,1394,Piston,0.04,4,1882.97,North America,172249.34
Airbus A320,23,2001,6146,Turbofan,2.58,170,2066.38,Africa,26054365.85
Boeing 777,10,2014,15267,Turbofan,6.3,391,2509.51,Europe,187581073.51
Airbus A320,30,1994,6415,Turbofan,2.49,187,588.52,South America,18956634.61
Boeing 777,7,2017,15862,Turbofan,7.01,402,2885.88,Africa,232498500.5
Boeing 777,4,2020,15783,Turbofan,6.26,388,4035.9,Middle East,280071903.75
Boeing 737,4,2020,6834,Turbofan,2.57,214,3714.25,Asia,94619488.39
Airbus A380,19,2005,15431,Turbofan,12.27,853,4923.69,Asia,189843470.84
Boeing 747,6,2018,14230,Turbofan,10.04,655,4998.4,Europe,305777482.65
Airbus A320,21,2003,6704,Turbofan,2.33,178,1127.3,Oceania,41235078.61
Airbus A350-1000,0,2024,15983,Turbofan,5.71,405,4533.83,Middle East,338816483.82
Airbus A350-1000,2,2022,16195,Turbofan,5.32,405,3207.05,South America,366220839.76
Airbus A350-1000,4,2020,16540,Turbofan,5.31,419,4948.19,Europe,251148527.42
Boeing 747,4,2020,13304,Turbofan,10.93,650,635.58,Middle East,336599972.93
Boeing 747,3,2021,13976,Turbofan,10.07,657,2358.05,Africa,315735916.55
Airbus A350-1000,7,2017,16424,Turbofan,4.93,406,2084.61,Oceania,278679007.3
Airbus A350-1000,8,2016,15721,Turbofan,4.7,417,4873.26,Middle East,249363509.63
Boeing 777,1,2023,15830,Turbofan,6.16,398,4075.66,Asia,304379037.43
Boeing 777,4,2020,16115,Turbofan,6.61,394,2602.63,Middle East,245364970.47
Boeing 747,12,2012,13418,Turbofan,9.52,656,922.68,North America,207852951.69
Airbus A320,10,2014,6793,Turbofan,2.49,186,1475.04,North America,61133021.54
Boeing 747,12,2012,13875,Turbofan,9.79,651,3387.37,Middle East,247375849.42
Airbus A320,13,2011,6243,Turbofan,2.28,181,4923.12,South America,50614853.33
Boeing 747,17,2007,14216,Turbofan,10.77,650,3553.18,South America,188247810.37
Boeing 737,1,2023,6475,Turbofan,2.78,205,4667.35,North America,108557925.21
Boeing 747,15,2009,14019,Turbofan,9.59,664,2339.22,Europe,167451510.71
Airbus A320,16,2008,6764,Turbofan,2.71,172,3161.55,Africa,49615931.02
Airbus A320,31,1993,6511,Turbofan,2.36,189,2829.13,Europe,22267512.3
Airbus A320,4,2020,6279,Turbofan,2.31,179,3738.03,Europe,75956349.15
Boeing 747,9,2015,13560,Turbofan,9.16,665,3191.74,Europe,250161985.73
Boeing 777,15,2009,15933,Turbofan,6.38,400,3660.01,Oceania,148841046.85
Cessna 172,22,2002,1247,Piston,0.04,4,4637.68,Oceania,121207.4
Boeing 747,1,2023,14001,Turbofan,10.61,652,1355.56,Middle East,472965654.24
Airbus A320,32,1992,6707,Turbofan,2.64,177,2745.26,South America,19368539.07
Airbus A350-1000,0,2024,16595,Turbofan,5.41,401,3539.2,North America,426931400.81
Airbus A320,2,2022,5983,Turbofan,2.66,176,1986.69,Asia,87081104.5
Boeing 737,7,2017,6686,Turbofan,2.49,202,3013.43,South America,79822504.31
Boeing 777,2,2022,16093,Turbofan,6.69,402,2411.42,Asia,330657424.54
